"blog_text","header","url","user","date","popularity","like_fave","share_rtwt","id","like_fav_group","shr_rtwt_group","source","polarity","polarity_confidence","subjectivity","subjectivity_confidence"
"#adelaide loves a #market and were no different  #autumnfest  pic twitter com  htqqstsfa","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/592524377477894144","@AdelUniUnion","8:03 PM - 26 Apr 2015","[u'Retweet:1', u'Retweeted:1', u'Like:1', u'Liked:1']",1,1,184,"Low","Low","twitter","neutral",0.841784939965981,"objective",0.999999999284141
"#adelaidemetro welcomes you back to uni     and back to our trains  trams   buses  visit  for the latest timetables","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/441748315034484737","@AdelUniUnion","5:33 PM - 6 Mar 2014","[]",NA,NA,650,"None","None","twitter","neutral",0.534101227681584,"subjective",1
"#adelunibooks  harry potter and the polygontheatres stone","twitter_hashtag_AdelUniUnion","https://twitter.com/bbgum_princen/status/581007175251664896","@bbgum_princen","1:17 AM - 26 Mar 2015","[u'Retweet:1', u'Retweeted:1']",NA,1,257,"None","Low","twitter","neutral",0.630066192711814,"subjective",0.963721437714594
"#adelunibooks harry medlin and the philosophers stone","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/580990383250767872","@AdelUniUnion","12:11 AM - 26 Mar 2015","[]",NA,NA,276,"None","None","twitter","neutral",0.608792272954449,"subjective",0.959943102750142
"#adelunibooks sun tzus bachelor of arts of war","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/580990637698215938","@AdelUniUnion","12:12 AM - 26 Mar 2015","[u'Retweet:1', u'Retweeted:1', u'Like:1', u'Liked:1']",1,1,275,"Low","Low","twitter","neutral",0.906084722781174,"objective",0.999999987390494
"#atthecloisters  asta world pic twitter com sli jub oc","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/627098861396307968","@AdelUniUnion","5:49 AM - 31 Jul 2015","[u'Retweet:3', u'Retweeted:3']",NA,3,93,"None","Medium","twitter","neutral",0.990520914347551,"objective",0.960253995118723
"#atthecloisters attendees  have you purchased tickets online thru oztiz   received etickets via email  be sure to present them at the door","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/495019531035619328","@AdelUniUnion","6:33 PM - 31 Jul 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,587,"None","Low","twitter","neutral",0.494959653296966,"subjective",1
"#atthecloisters feature act  andy bull releases his sophomore album sea of approval  today  see  for album details","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/487246170474168320","@AdelUniUnion","7:45 AM - 10 Jul 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,608,"None","Low","twitter","neutral",0.806669038871092,"subjective",0.945259921506303
"#atthecloisters features adelaide solo beatmaster oisima oisima will melt your insides   vice  friday  august    pic twitter com webzdikdtj","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/488897521008144384","@AdelUniUnion","9:07 PM - 14 Jul 2014","[u'Retweet:3', u'Retweeted:3', u'Like:1', u'Liked:1']",1,3,606,"Low","Medium","twitter","neutral",0.997025815325778,"objective",1
"#atthecloisters is close to selling out  get your tickets now in the hub  at the union office or online thru oztix","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/494670998105382912","@AdelUniUnion","7:28 PM - 30 Jul 2014","[u'Retweet:2', u'Retweeted:2', u'Like:1', u'Liked:1']",1,2,590,"Low","Low","twitter","neutral",0.926390477039656,"objective",0.999999987988742
"#atthecloisters is the offical hashtag for todays event  tweet at us  pic twitter com  zpgq pcct","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/495045012036399105","@AdelUniUnion","8:15 PM - 31 Jul 2014","[u'Retweet:2', u'Retweeted:2']",NA,2,584,"None","Low","twitter","neutral",0.998562157447801,"subjective",1
"#atthecloisters photos are up now   #andybull pic twitter com  xt zayihb","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/496837395367473152","@AdelUniUnion","6:57 PM - 5 Aug 2014","[u'Retweet:2', u'Retweeted:2']",NA,2,572,"None","Low","twitter","neutral",0.993572949200644,"objective",0.999953277751115
"#atthecloisters told you thered be a crowd  pic twitter com  oqv byoqk","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/495125479376965632","@AdelUniUnion","1:34 AM - 1 Aug 2014","[]",NA,NA,582,"None","None","twitter","neutral",0.991540832822122,"subjective",1
"#atthecloisters video one  have you got you tickets yet","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/617920368423014400","@AdelUniUnion","9:57 PM - 5 Jul 2015","[]",NA,NA,121,"None","None","twitter","neutral",0.608777847978144,"subjective",1
"#auoweek #adelaideuniversityunion #vintagecars #hypnotist #isaaclomman #tomballard #davecallan #finalday #cosplay pic twitter com cx qrughiu","twitter_hashtag_AdelUniUnion","https://twitter.com/AdelUniUnion/status/438460906553348096","@AdelUniUnion","3:50 PM - 25 Feb 2014","[u'Retweet:1', u'Retweeted:1']",NA,1,667,"None","Low","twitter","neutral",0.99265206321584,"objective",0.999999999999826
